scorer,DLC_resnet50_bab_bar_2pts_dlc3Feb24shuffle1_500,DLC_resnet50_bab_bar_2pts_dlc3Feb24shuffle1_500,DLC_resnet50_bab_bar_2pts_dlc3Feb24shuffle1_500,DLC_resnet50_bab_bar_2pts_dlc3Feb24shuffle1_500,DLC_resnet50_bab_bar_2pts_dlc3Feb24shuffle1_500,DLC_resnet50_bab_bar_2pts_dlc3Feb24shuffle1_500
bodyparts,beam_left,beam_left,beam_left,beam_right,beam_right,beam_right
coords,x,y,likelihood,x,y,likelihood
0,76.46920013427734,353.7513122558594,0.5156863331794739,1823.125,326.05023193359375,0.7341437935829163
1,76.2341537475586,353.12060546875,0.5241798162460327,1823.1087646484375,326.0989074707031,0.7223852872848511
2,76.3539810180664,353.53955078125,0.5190012454986572,1823.107421875,326.10186767578125,0.7224499583244324
3,76.24282836914062,353.39752197265625,0.5118340253829956,1823.1197509765625,326.107421875,0.722197413444519
4,76.3542709350586,353.3808898925781,0.5099871158599854,1823.1695556640625,326.0754699707031,0.7350254058837891
5,76.14625549316406,353.0635070800781,0.5140587687492371,1823.0697021484375,326.06103515625,0.7231292128562927
6,76.13088989257812,353.3840026855469,0.5266836285591125,1823.15771484375,326.0899658203125,0.7273714542388916
7,76.10424041748047,353.4473571777344,0.5291600227355957,1823.1385498046875,326.1291809082031,0.730815589427948
8,76.15620422363281,353.37506103515625,0.5304553508758545,1823.0697021484375,326.11419677734375,0.7272481322288513
9,76.01687622070312,353.26666259765625,0.5299150347709656,1823.2205810546875,326.1511535644531,0.7246655225753784
10,76.00049591064453,353.3180236816406,0.5255409479141235,1823.130126953125,326.23309326171875,0.724644124507904
11,76.16737365722656,353.3488464355469,0.5201459527015686,1823.164306640625,326.2080383300781,0.7256860136985779
12,75.99836730957031,353.07916259765625,0.5209724307060242,1823.2413330078125,326.1383361816406,0.7221260666847229
13,76.02818298339844,353.08868408203125,0.5219807624816895,1823.247802734375,326.0533752441406,0.7181368470191956
14,75.99642181396484,353.14581298828125,0.5243361592292786,1823.2882080078125,326.09942626953125,0.7180486917495728
15,76.0778579711914,353.161376953125,0.523914635181427,1823.1611328125,326.0766906738281,0.7147383093833923
16,76.14920806884766,353.1914367675781,0.5275529623031616,1823.356201171875,326.1029968261719,0.7142208218574524
17,76.10690307617188,353.18658447265625,0.5278415083885193,1823.1751708984375,326.1732177734375,0.7142132520675659
