frame,t_s,beam_left_x,beam_left_y,beam_right_x,beam_right_y,confidence_min,theta_deg
0,0.0,72.0,341.4705810546875,1816.0,309.7059020996094,0.6162395477294922,-1.0434523102125486
1,0.03333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.6096634268760681,-1.0434523102125486
2,0.06666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.6140936017036438,-1.0434523102125486
3,0.1,72.0,341.4705810546875,1816.0,309.7059020996094,0.6162702441215515,-1.0434523102125486
4,0.13333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.6083031892776489,-1.0434523102125486
5,0.16666666666666666,72.0,341.4705810546875,1816.0,309.7059020996094,0.610126256942749,-1.0434523102125486
6,0.2,72.0,341.4705810546875,1816.0,309.7059020996094,0.608893096446991,-1.0434523102125486
7,0.23333333333333334,72.0,341.4705810546875,1816.0,309.7059020996094,0.6082307696342468,-1.0434523102125486
8,0.26666666666666666,72.0,341.4705810546875,1816.0,309.7059020996094,0.612884521484375,-1.0434523102125486
9,0.3,72.0,341.4705810546875,1816.0,309.7059020996094,0.6143894195556641,-1.0434523102125486
10,0.3333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.6136091947555542,-1.0434523102125486
11,0.36666666666666664,72.0,341.4705810546875,1816.0,309.7059020996094,0.6099329590797424,-1.0434523102125486
12,0.4,72.0,341.4705810546875,1816.0,309.7059020996094,0.6004117131233215,-1.0434523102125486
13,0.43333333333333335,72.0,341.4705810546875,1816.0,309.7059020996094,0.5992981195449829,-1.0434523102125486
14,0.4666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.5997750759124756,-1.0434523102125486
15,0.5,72.0,341.4705810546875,1816.0,309.7059020996094,0.5974951386451721,-1.0434523102125486
16,0.5333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.5971169471740723,-1.0434523102125486
17,0.5666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.596739649772644,-1.0434523102125486
18,0.6,72.0,341.4705810546875,1816.0,309.7059020996094,0.5904442667961121,-1.0434523102125486
19,0.6333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.5911141037940979,-1.0434523102125486
20,0.6666666666666666,72.0,341.4705810546875,1816.0,309.7059020996094,0.5988530516624451,-1.0434523102125486
21,0.7,72.0,341.4705810546875,1816.0,309.7059020996094,0.5943598747253418,-1.0434523102125486
22,0.7333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.5940786004066467,-1.0434523102125486
23,0.7666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.5971686244010925,-1.0434523102125486
24,0.8,72.0,341.4705810546875,1816.0,309.7059020996094,0.599690318107605,-1.0434523102125486
25,0.8333333333333334,72.0,341.4705810546875,1816.0,309.7059020996094,0.5935114026069641,-1.0434523102125486
26,0.8666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.5919374823570251,-1.0434523102125486
27,0.9,72.0,341.4705810546875,1816.0,309.7059020996094,0.5952027440071106,-1.0434523102125486
28,0.9333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.5957446694374084,-1.0434523102125486
29,0.9666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.590215802192688,-1.0434523102125486
30,1.0,72.0,341.4705810546875,1816.0,309.7059020996094,0.5879020094871521,-1.0434523102125486
31,1.0333333333333334,72.0,341.4705810546875,1816.0,309.7059020996094,0.590051531791687,-1.0434523102125486
32,1.0666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.5962918996810913,-1.0434523102125486
33,1.1,72.0,341.4705810546875,1816.0,309.7059020996094,0.594470202922821,-1.0434523102125486
34,1.1333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.5927466750144958,-1.0434523102125486
35,1.1666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.5973432660102844,-1.0434523102125486
36,1.2,72.0,341.4705810546875,1816.0,309.7059020996094,0.5944300889968872,-1.0434523102125486
37,1.2333333333333334,72.0,341.4705810546875,1816.0,309.7059020996094,0.5967115759849548,-1.0434523102125486
38,1.2666666666666666,72.0,341.4705810546875,1816.0,309.7059020996094,0.595365047454834,-1.0434523102125486
39,1.3,72.0,341.4705810546875,1816.0,309.7059020996094,0.6005836725234985,-1.0434523102125486
40,1.3333333333333333,72.0,341.4705810546875,1816.0,309.7059020996094,0.601567268371582,-1.0434523102125486
41,1.3666666666666667,72.0,341.4705810546875,1816.0,309.7059020996094,0.6011122465133667,-1.0434523102125486
42,1.4,72.0,341.4705810546875,1816.0,309.7059020996094,0.6015853881835938,-1.0434523102125486
