scorer,,,Dani_F,Dani_F,Dani_F,Dani_F
bodyparts,,,beam_left,beam_left,beam_right,beam_right
coords,,,x,y,x,y
labeled-data,swept_sine_ready,img0045.png,80.13878720509479,354.7530305918798,1824.355770605769,327.41319038528206
labeled-data,swept_sine_ready,img0048.png,79.94499048690645,354.5592338736915,1824.9392194426562,327.99663922216916
labeled-data,swept_sine_ready,img0072.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0076.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0087.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0107.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0133.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0135.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0144.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0151.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0162.png,79.94499048690645,354.5592338736915,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0175.png,79.94499048690645,355.1406240282565,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0178.png,79.94499048690645,354.94682731006816,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0181.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0193.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0194.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0200.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0201.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0206.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0246.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0251.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0264.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0292.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0303.png,79.94499048690645,355.33442074644483,1824.9392194426562,326.82974154839496
labeled-data,swept_sine_ready,img0314.png,80.7201773596598,363.2800861921667,1825.1576306081427,318.5954680607373
labeled-data,swept_sine_ready,img0337.png,82.07675776817761,385.5667380004249,1824.476891554306,297.1235953186995
labeled-data,swept_sine_ready,img0342.png,82.14058657413,388.47786884792947,1824.476891554306,296.396768227932
labeled-data,swept_sine_ready,img0393.png,87.11265065553354,433.2267888689529,1822.2964102820035,249.15300732804874
labeled-data,swept_sine_ready,img0412.png,84.9663589492018,419.45475041999083,1820.8427561004687,262.96272205263
labeled-data,swept_sine_ready,img0429.png,81.38920610531554,374.0249093026354,1825.2037186450732,308.7528287709784
labeled-data,swept_sine_ready,img0430.png,80.67377553653829,371.1631870275263,1825.2037186450732,312.3869642248156
labeled-data,swept_sine_ready,img0435.png,79.77948732556673,356.3180027253984,1824.476891554306,325.46985185862945
labeled-data,swept_sine_ready,img0438.png,79.60062968337242,347.5539782578771,1825.2037186450732,334.9186040386061
labeled-data,swept_sine_ready,img0443.png,79.24291439898379,327.1642070477254,1823.7500644635384,355.9965896708617
labeled-data,swept_sine_ready,img0447.png,79.42177204117812,317.684752011427,1823.023237372771,363.9916876693035
labeled-data,swept_sine_ready,img0452.png,79.60062968337243,303.1972829936877,1822.2964102820035,377.0745753031173
labeled-data,swept_sine_ready,img0457.png,79.42177204117812,289.067529260337,1821.5695831912362,391.61111711846604
labeled-data,swept_sine_ready,img0460.png,79.77948732556675,284.7749458476735,1822.2964102820035,395.97207966307064
labeled-data,swept_sine_ready,img0485.png,79.95834496776105,288.88867161814267,1821.5695831912362,391.61111711846604
labeled-data,swept_sine_ready,img0499.png,79.60062968337243,343.9768254139909,1823.7500644635384,338.55273949244327
labeled-data,swept_sine_ready,img0526.png,86.75493537114492,433.94221943773005,1822.2964102820035,249.87983441881616
labeled-data,swept_sine_ready,img0536.png,86.21836244456199,428.0399172453177,1822.2964102820035,254.24079696342076
labeled-data,swept_sine_ready,img0565.png,79.60062968337243,284.7749458476734,1821.5695831912362,396.69890675383806
labeled-data,swept_sine_ready,img0574.png,80.31606025214967,271.7183379674886,1820.1159290097012,408.32814020611704
labeled-data,swept_sine_ready,img0593.png,79.95834496776105,352.74084988151213,1825.9305457358407,330.5576414940015
labeled-data,swept_sine_ready,img0602.png,83.5354978116473,405.50385432883434,1824.476891554306,277.4992638679787
labeled-data,swept_sine_ready,img0624.png,82.28349431628712,395.8455416503415,1825.2037186450732,286.9480160479553
labeled-data,swept_sine_ready,img0629.png,80.6737755365383,362.39916256000504,1825.2037186450732,321.83571640479227
labeled-data,swept_sine_ready,img0712.png,79.77948732556673,271.71833796748865,1821.5695831912362,407.6013131153495
labeled-data,swept_sine_ready,img0737.png,87.47036593992217,435.7307958596731,1822.2964102820035,246.9725260557464
labeled-data,swept_sine_ready,img0738.png,87.47036593992217,435.9096535018674,1822.2964102820035,246.9725260557464
labeled-data,swept_sine_ready,img0749.png,81.92577903189849,366.69174597266857,1824.476891554306,316.74792676942013
labeled-data,swept_sine_ready,img0759.png,79.84365928612402,284.23797645563684,1823.7500644635384,397.4257338446055
labeled-data,swept_sine_ready,img0781.png,82.7609034705595,399.17739732239477,1823.7500644635386,282.5870535033508
labeled-data,swept_sine_ready,img0818.png,81.01055695989822,282.48762994497554,1821.5695831912362,396.69890675383806
labeled-data,swept_sine_ready,img0842.png,84.5112499812208,410.2629252232496,1823.7500644635386,272.4114742326067
labeled-data,swept_sine_ready,img0848.png,79.84365928612402,333.24767875415296,1824.476891554306,347.2746645816525
labeled-data,swept_sine_ready,img0891.png,81.01055695989822,322.7455996901852,1823.7500644635386,356.72341676162915
labeled-data,swept_sine_ready,img0898.png,80.42710812301112,269.65175553345944,1820.8427561004687,409.78179438765187
labeled-data,swept_sine_ready,img0903.png,80.42710812301112,279.5703857605401,1823.023237372771,399.6062151169078
